"","persProb","g","v"
"172",0.00268817204301075,4,6000
"173",0,5,6000
"174",0.0466045272969374,6,6000
"175",0.438692098092643,7,6000
"176",0.755208333333333,8,6000
"177",0.894666666666667,9,6000
"178",0.943495400788436,10,6000
"179",0.954856361149111,11,6000
"180",0.97522816166884,12,6000
"181",0,1,7000
"182",0,2,7000
"183",0.00133868808567605,3,7000
"184",0,4,7000
"185",0.00522193211488253,5,7000
"186",0.0307486631016043,6,7000
"187",0.348547717842324,7,7000
"188",0.728971962616823,8,7000
"189",0.870666666666667,9,7000
"190",0.924380704041721,10,7000
"191",0.945736434108527,11,7000
"192",0.977542932628798,12,7000
"193",0.00394218134034163,1,8000
"194",0.00130718954248366,2,8000
"195",0.00130208333333337,3,8000
"196",0.00404858299595146,4,8000
"197",0.002635046113307,5,8000
"198",0.016551724137931,6,8000
"199",0.314247669773635,7,8000
"200",0.695652173913043,8,8000
"201",0.829590488771466,9,8000
"202",0.936305732484076,10,8000
"203",0.955786736020806,11,8000
"204",0.964705882352941,12,8000
"205",0.00257400257400253,1,9000
"206",0.00529100529100535,2,9000
"207",0.00130378096479788,3,9000
"208",0.00271739130434778,4,9000
"209",0.00535475234270411,5,9000
"210",0.0131233595800525,6,9000
"211",0.265873015873016,7,9000
"212",0.672750977835724,8,9000
"213",0.848728246318608,9,9000
"214",0.926470588235294,10,9000
"215",0.946666666666667,11,9000
"216",0.964334705075446,12,9000
"217",0.00137931034482763,1,10000
"218",0.00530503978779839,2,10000
"219",0.00262467191601046,3,10000
"220",0.00131233595800528,4,10000
"221",0.00131406044678051,5,10000
"222",0.00522875816993462,6,10000
"223",0.2,7,10000
"224",0.642176870748299,8,10000
"225",0.844919786096257,9,10000
"226",0.900409276944065,10,10000
"227",0.948344370860927,11,10000
"228",0.962435233160622,12,10000
"229",0.00260756192959588,1,20000
"230",0.00397877984084882,2,20000
"231",0.00413793103448279,3,20000
"232",0.00266666666666671,4,20000
"233",0.00132100396301194,5,20000
"234",0.00132802124833997,6,20000
"235",0.046814044213264,7,20000
"236",0.417654808959157,8,20000
"237",0.734501347708895,9,20000
"238",0.863102998696219,10,20000
"239",0.909090909090909,11,20000
"240",0.942590120160214,12,20000
"241",0.00267737617135211,1,30000
"242",0,2,30000
"243",0,3,30000
"244",0.00135685210312075,4,30000
"245",0.00520156046814046,5,30000
"246",0.00139082058414464,6,30000
"247",0.00534759358288772,7,30000
"248",0.268518518518518,8,30000
"249",0.643159379407616,9,30000
"250",0.82051282051282,10,30000
"251",0.907911802853437,11,30000
"252",0.9280868385346,12,30000
"253",0.00262812089356113,1,40000
"254",0.00682128240109137,2,40000
"255",0,3,40000
"256",0.00536912751677854,4,40000
"257",0.00392670157068065,5,40000
"258",0.00402684563758393,6,40000
"259",0.00542005420054203,7,40000
"260",0.161764705882353,8,40000
"261",0.557312252964427,9,40000
"262",0.793800539083558,10,40000
"263",0.865869853917663,11,40000
"264",0.907911802853437,12,40000
"265",0.00268817204301075,1,50000
"266",0.00269541778975746,2,50000
"267",0.00134048257372654,3,50000
"268",0.00549450549450547,4,50000
"269",0.00392156862745097,5,50000
"270",0,6,50000
"271",0.00268817204301075,7,50000
"272",0.10455764075067,8,50000
"273",0.489583333333333,9,50000
"274",0.757381258023107,10,50000
"275",0.83289817232376,11,50000
"276",0.894267515923567,12,50000
"277",0.00265251989389925,1,60000
"278",0.00528401585204752,2,60000
"279",0.00132978723404253,3,60000
"280",0.0026917900403769,4,60000
"281",0,5,60000
"282",0.0065616797900262,6,60000
"283",0.00134048257372654,7,60000
"284",0.0564516129032258,8,60000
"285",0.425196850393701,9,60000
"286",0.706507304116866,10,60000
"287",0.823609226594301,11,60000
"288",0.870147255689424,12,60000
"289",0.00797872340425532,1,70000
"290",0.00267737617135211,2,70000
"291",0.00402684563758393,3,70000
"292",0.00268817204301075,4,70000
"293",0.00395256916996045,5,70000
"294",0.00536912751677854,6,70000
"295",0.00131926121372028,7,70000
"296",0.0325097529258778,8,70000
"297",0.34106412005457,9,70000
"298",0.682626538987688,10,70000
"299",0.838926174496644,11,70000
"300",0.876302083333333,12,70000
"301",0.00398936170212771,1,80000
"302",0.00266666666666671,2,80000
"303",0.00401069518716579,3,80000
"304",0.00399467376830898,4,80000
"305",0.00262123197903019,5,80000
"306",0.00127226463104324,6,80000
"307",0.00258064516129031,7,80000
"308",0.0267379679144385,8,80000
"309",0.352941176470588,9,80000
"310",0.657407407407407,10,80000
"311",0.785526315789474,11,80000
"312",0.868175765645806,12,80000
"313",0.00135501355013545,1,90000
"314",0.00268096514745308,2,90000
"315",0.00271002710027102,3,90000
"316",0.00389610389610384,4,90000
"317",0.00134048257372654,5,90000
"318",0.00260416666666663,6,90000
"319",0,7,90000
"320",0.0132450331125827,8,90000
"321",0.273316062176166,9,90000
"322",0.632963988919668,10,90000
"323",0.778401122019635,11,90000
"324",0.848958333333333,12,90000
"325",0,1,1e+05
"326",0.00271739130434778,2,1e+05
"327",0,3,1e+05
"328",0.00135317997293638,4,1e+05
"329",0.00270270270270268,5,1e+05
"330",0,6,1e+05
"331",0.00402144772117963,7,1e+05
"332",0.00661375661375663,8,1e+05
"333",0.262948207171315,9,1e+05
"334",0.607764390896921,10,1e+05
"335",0.75,11,1e+05
"336",0.822281167108753,12,1e+05
